id_respondent,Rating,Tipo_di_Pesce,Panatura,Spezie,Tempo_di_Preparazione,Formato_Confezione
9,0.0,Salmone,Gratinato,Nessuna,8-15,Doppia
9,0.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
9,0.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
9,0.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
9,0.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
9,0.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
9,0.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
9,10.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
9,10.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
10,90.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
10,20.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
10,50.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
10,80.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
10,70.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
10,60.0,Salmone,Gratinato,Nessuna,8-15,Doppia
10,80.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
10,60.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
10,100.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
10,80.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
10,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
10,20.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
10,70.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
10,20.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
10,10.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
10,80.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
10,10.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
10,50.0,Calamaro,Panko,Nessuna,8-15,Mono
11,30.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
11,10.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
11,30.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
11,70.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
11,70.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
11,60.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
11,90.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
11,10.0,Salmone,Gratinato,Nessuna,8-15,Doppia
11,60.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
11,10.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
11,30.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
11,70.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
11,20.0,Calamaro,Panko,Nessuna,8-15,Mono
11,80.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
11,10.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
11,10.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
11,10.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
11,20.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
12,50.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
12,0.0,Calamaro,Panko,Nessuna,8-15,Mono
12,10.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
12,20.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
12,40.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
12,30.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
12,50.0,Salmone,Gratinato,Nessuna,8-15,Doppia
12,20.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
12,30.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
12,30.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
12,50.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
12,20.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
12,40.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
12,30.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
12,20.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
12,40.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
12,20.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
12,60.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
13,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
13,70.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
13,80.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
13,40.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
13,50.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
13,70.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
13,20.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
13,40.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
13,30.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
13,70.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
13,30.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
13,10.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
13,40.0,Calamaro,Panko,Nessuna,8-15,Mono
13,50.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
13,70.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
13,70.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
13,70.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
13,30.0,Salmone,Gratinato,Nessuna,8-15,Doppia
14,80.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
14,0.0,Salmone,Gratinato,Nessuna,8-15,Doppia
14,0.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
14,80.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
14,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
14,0.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
14,30.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
14,70.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
14,0.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
14,70.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
14,60.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
14,70.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
14,60.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
14,70.0,Calamaro,Panko,Nessuna,8-15,Mono
14,0.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
14,40.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
14,70.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
14,60.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
15,0.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
15,100.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
15,100.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
15,100.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
15,100.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
15,0.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
15,0.0,Salmone,Gratinato,Nessuna,8-15,Doppia
15,100.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
15,100.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
15,100.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
15,100.0,Calamaro,Panko,Nessuna,8-15,Mono
15,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
15,0.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
15,100.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
15,0.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
15,100.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
15,90.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
15,90.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
16,0.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
16,0.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
16,0.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
16,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
16,0.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
16,0.0,Calamaro,Panko,Nessuna,8-15,Mono
16,0.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
16,0.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
16,0.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
16,0.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
16,0.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
16,0.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
16,0.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
16,0.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
16,0.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
16,0.0,Salmone,Gratinato,Nessuna,8-15,Doppia
16,0.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
16,0.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
17,80.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
17,90.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
17,80.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
17,70.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
17,90.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
17,80.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
17,80.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
17,80.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
17,80.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
17,80.0,Salmone,Gratinato,Nessuna,8-15,Doppia
17,80.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
17,80.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
17,90.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
17,90.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
17,80.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
17,80.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
17,70.0,Calamaro,Panko,Nessuna,8-15,Mono
17,80.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
18,20.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
18,10.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
18,20.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
18,20.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
18,20.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
18,20.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
18,20.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
18,20.0,Calamaro,Panko,Nessuna,8-15,Mono
18,20.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
18,20.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
18,20.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
18,20.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
18,20.0,Salmone,Gratinato,Nessuna,8-15,Doppia
18,20.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
18,20.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
18,20.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
18,20.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
18,20.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
19,40.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
19,40.0,Calamaro,Panko,Nessuna,8-15,Mono
19,40.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
19,50.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
19,40.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
19,30.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
19,50.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
19,50.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
19,50.0,Salmone,Gratinato,Nessuna,8-15,Doppia
19,50.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
19,40.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
19,50.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
19,50.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
19,40.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
19,40.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
19,40.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
19,40.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
19,50.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
20,30.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
20,30.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
20,30.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
20,40.0,Gambero,Nessuna,SalviaRosmarino,8-15,Doppia
20,30.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
20,30.0,Calamaro,Gratinato,PrezzemoloBasilico,PiùDi15,Famiglia
20,20.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
20,20.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
20,30.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
20,30.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
20,30.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
20,20.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
20,30.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
20,10.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
20,30.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
20,0.0,Salmone,Nessuna,Nessuna,PiùDi15,Mono
20,30.0,Calamaro,Panko,Nessuna,8-15,Mono
20,20.0,Salmone,Gratinato,Nessuna,8-15,Doppia
21,50.0,Calamaro,Nessuna,PrezzemoloBasilico,8-15,Famiglia
21,0.0,Salmone,Panko,SalviaRosmarino,8-15,Famiglia
21,50.0,Calamaro,Panko,SalviaRosmarino,MenoDi8,Mono
21,0.0,Salmone,Gratinato,Nessuna,8-15,Doppia
21,50.0,Calamaro,Nessuna,SalviaRosmarino,PiùDi15,Doppia
21,50.0,Calamaro,Panko,Nessuna,8-15,Mono
21,60.0,Gambero,Gratinato,SalviaRosmarino,PiùDi15,Mono
21,60.0,Gambero,Panko,PrezzemoloBasilico,MenoDi8,Doppia
21,0.0,Salmone,Panko,PrezzemoloBasilico,PiùDi15,Doppia
21,0.0,Salmone,Gratinato,SalviaRosmarino,MenoDi8,Famiglia
21,40.0,Calamaro,Gratinato,Nessuna,MenoDi8,Doppia
21,60.0,Gambero,Gratinato,PrezzemoloBasilico,8-15,Mono
21,60.0,Gambero,Panko,Nessuna,PiùDi15,Famiglia
21,60.0,Gambero,Nessuna,Nessuna,MenoDi8,Famiglia
21,0.0,Salmone,Nessuna,PrezzemoloBasilico,MenoDi8,Mono
